generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-835.8309938859334,-7211.126534910673,4050.4951617278653,14,15.859375,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-480.74176899404483,494.0728020276458
1,-835.8309938859334,-3389.318847467641,2598.9390540574564,14,17.0234375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-225.1660481645094,228.94938518748828
2,-835.8309938859334,-2500.972962471833,2191.3253071558183,14,17.7265625,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-165.94298916478886,189.5251378054258
3,-786.898736623222,-2260.84751925382,2730.299971427449,14,15.328125,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-149.934626283588,276.885412803077
4,-398.54182650945273,-2276.978236611395,2782.3380501686925,14,15.109375,128,0,128,0.0,1.0,1920,15,1905,0.0078125,0.9921875,-151.01000744075964,300.79927522326756
5,-398.54182650945273,-2009.0965476516753,2518.259717295996,14,15.75,128,0,128,0.0,1.0,1920,27,1893,0.0140625,0.9859375,-133.15122817677835,239.28863205096928
6,-398.54182650945273,-2027.6090502316054,2715.557893402212,14,15.90625,128,0,128,0.0,1.0,1920,63,1857,0.0328125,0.9671875,-134.38539501544034,280.44265471543565
7,-398.54182650945273,-2112.7684732845278,2747.436447688658,14,15.34375,128,0,128,0.0,1.0,1920,115,1805,0.059895833333333336,0.9401041666666666,-140.0626898856352,275.8244668843897
8,-398.54182650945273,-1666.757048916019,2476.336143884718,14,15.4921875,128,0,128,0.0,1.0,1920,141,1779,0.0734375,0.9265625,-110.38067826106793,253.23667537900633
9,-374.33338628219207,-2131.5720933938373,2833.2263986421585,14,14.640625,128,0,128,0.0,1.0,1920,123,1797,0.0640625,0.9359375,-141.31626455958914,300.7563444047064
