generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
0,-1381.6549600977899,-6626.84502148503,2737.2214375141607,21,16.140625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-441.789668099002,243.79719745931715,-1160.2950634852807,-116.02950634852807,34.86973382833661,0.0,-1160.2950634852807
1,-1259.7924097917762,-3193.740715465533,1977.8703681377033,21,17.8515625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-212.91313103103553,161.92767208529702,-753.7375216172898,-75.37375216172897,36.36355795285017,0.0,-753.7375216172898
2,-939.5295612095509,-2640.6535721143878,1993.7178430654012,21,20.015625,128,0,128,0.0,1.0,1920,13,1907,0.0067708333333333336,0.9932291666666667,-176.04045949512587,149.6582395699814,-601.4320895136563,-60.14320895136562,38.794854523595916,0.0,-601.4320895136563
3,-992.708741749216,-2189.5668283070927,1771.6922484052068,21,22.2265625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-145.96799688713952,134.8561840793756,-622.2631722454532,-62.22631722454531,28.205968582565507,0.0,-601.4320895136563
4,-782.3224655053106,-1997.7265477839198,1803.1130996669044,30,23.5703125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-133.17823599809466,138.26963127352988,-738.6118083535054,-73.86118083535055,70.22481135631443,0.0,-601.4320895136563
5,-716.8927107364766,-2286.196438534419,2450.031148502495,27,26.84375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-152.40886673562798,173.8391293837128,-769.7780616532514,-76.97780616532512,57.25200949171647,0.0,-601.4320895136563
6,-602.6638050770213,-2000.1933585223937,2300.3108667714196,32,30.2109375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-133.3422186931596,164.212516817277,-519.3143337086888,-51.931433370868874,39.64094240847744,0.0,-519.3143337086888
7,-564.3580136416031,-2451.922684601725,2689.713170284694,22,33.4375,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-163.4577935567817,194.71479399741966,-555.9257139401841,-55.5925713940184,45.36576494188691,0.0,-519.3143337086888
8,-532.0338214236972,-1653.0293731527063,2074.2142244133706,34,30.5859375,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-110.19795560601375,148.88056396414117,-303.56694805630264,-30.35669480563026,57.17479008481417,0.0,-303.56694805630264
9,-513.5669251445385,-2045.735503381116,2472.572349935283,34,30.6953125,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-136.37703095457442,181.61582225584206,-456.7073074966573,-45.67073074966573,42.4873204532758,0.0,-303.56694805630264
10,-494.65407816315945,-2532.585671107061,2965.953013908009,34,31.4375,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-168.83383380297073,211.8221910844912,-569.828163971014,-56.98281639710141,36.616540449723516,0.0,-303.56694805630264
11,-439.2659711123723,-1714.97748718621,2327.089322542252,34,34.5390625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-114.32698872908064,168.63099053978547,-469.03658147262854,-46.903658147262846,44.58503974365308,0.0,-303.56694805630264
12,-439.2659711123723,-2046.4911536950456,2622.316354430607,34,34.6171875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-136.42781128800303,191.85091231122672,-651.5604497597272,-65.15604497597272,40.41893929570051,0.0,-303.56694805630264
13,-436.81571510609194,-2111.83478919977,2459.3919777429464,34,34.1953125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-140.784347925818,182.60032966130296,-624.7748033523134,-62.47748033523135,49.474714424519085,0.0,-303.56694805630264
14,-434.60805431959056,-2246.3654172879515,2793.583193705235,34,32.2890625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-149.7526033400301,203.6381454894528,-524.0854529085103,-52.40854529085103,29.211581688517704,0.0,-303.56694805630264
15,-433.7343816212291,-2303.433565325172,2663.940724468554,34,34.21875,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-153.55743820917814,201.94610927995376,-432.7630996908995,-43.27630996908995,38.92240002706595,0.0,-303.56694805630264
16,-433.7343816212291,-1847.5153205853837,2644.913982265196,34,35.28125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-123.16286772652559,190.36007701858372,-695.8605510861338,-69.58605510861338,22.99640471141535,0.0,-303.56694805630264
17,-426.8644220377528,-1765.4332573516178,2407.740361620037,34,36.3515625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-117.6904619484412,175.77903458758277,-341.9300962452001,-34.193009624520016,37.53916778300453,0.0,-303.56694805630264
18,-426.8644220377528,-1906.027109294837,2536.0471599718826,34,36.765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-127.0631328071558,184.17175459359967,-737.5053688757212,-73.75053688757214,104.04139943225431,0.0,-303.56694805630264
19,-420.67606632694725,-2065.6745237146743,2792.0850897006485,40,36.171875,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-137.7054526226449,201.50320376199633,-647.7173466392712,-64.77173466392712,43.31003558631954,0.0,-303.56694805630264
20,-408.1022239527134,-1730.1405728414788,2541.890365316674,45,36.359375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-115.33741579359857,181.11432676825763,-684.2139516158444,-68.42139516158444,40.99030637873423,0.0,-303.56694805630264
21,-408.1022239527134,-1452.739934380968,2126.880356596399,45,37.6328125,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-96.84376125039786,161.36901191101234,-485.88570662484506,-48.58857066248451,51.31451975961532,0.0,-303.56694805630264
22,-408.1022239527134,-1866.4089567554793,2550.3197922605987,47,40.1640625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-124.42221170036528,185.6128647990609,-588.3944046093957,-58.83944046093957,36.299056854945235,0.0,-303.56694805630264
