generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1633.0825694491205,-7354.5291142293645,3775.2625827233605,20,15.8828125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-490.3019409486243,408.60317800285543
1,-1633.0825694491205,-3927.208397455227,2865.5838980908347,20,17.5234375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-261.02222649701514,271.00106410976775
2,-1261.127010305819,-2763.3956899311324,1909.901840177481,20,18.640625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-183.4347126620755,160.79642004910252
3,-645.0206230806793,-2311.304517234299,1831.9400105450638,20,22.7265625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-153.29530114895326,137.82355005267567
4,-27.02172574728401,-2735.917438258053,2697.543180414872,23,23.3203125,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-181.60282921720352,200.85886851749157
5,-23.310124377004954,-2268.4988748335413,2786.3376993065917,29,24.265625,128,0,128,0.0,1.0,1920,18,1902,0.009375,0.990625,-150.59627915556942,208.49496753350004
6,273.8082539510323,-2232.864024969787,2907.401688525007,29,25.9921875,128,0,128,0.0,1.0,1920,24,1896,0.0125,0.9875,-148.11333083131913,214.68978848649752
7,286.5589534411524,-1741.0492163928575,2493.816414415182,38,28.5,128,0,128,0.0,1.0,1920,66,1854,0.034375,0.965625,-115.32567692619051,187.04230867983912
8,368.5526280253365,-1800.2153443827972,2765.31969389157,38,32.3671875,128,0,128,0.0,1.0,1920,142,1778,0.07395833333333333,0.9260416666666667,-119.31748129218646,215.12471948401225
9,305.2854978493364,-1851.3530921401511,2646.8397961679557,29,34.3671875,128,0,128,0.0,1.0,1920,177,1743,0.0921875,0.9078125,-122.77874780934343,198.58592285998512
10,611.8437505997385,-1783.3589208903973,2649.8934719046997,41,35.2890625,128,0,128,0.0,1.0,1920,192,1728,0.1,0.9,-118.14163639269314,204.85917575508716
11,564.0345143966576,-1210.6569530900922,2104.060011315711,41,34.609375,128,0,128,0.0,1.0,1920,236,1684,0.12291666666666666,0.8770833333333333,-80.01202603933947,166.28167853702197
12,564.0345143966576,-1543.2093735726028,2439.8618609974583,41,35.125,128,0,128,0.0,1.0,1920,211,1709,0.10989583333333333,0.8901041666666667,-102.28635407150684,190.53792058767115
13,564.0345143966576,-1482.669461642748,2191.9811606662106,41,38.8515625,128,0,128,0.0,1.0,1920,190,1730,0.09895833333333333,0.9010416666666666,-98.09410994284988,175.73535940472652
14,654.1867673237388,-1104.7711608944269,2285.5867264060403,46,41.4921875,128,0,128,0.0,1.0,1920,270,1650,0.140625,0.859375,-73.05713989296181,178.08990353715694
15,786.707920420396,-695.9878999408502,1923.6559534498017,41,43.1484375,128,0,128,0.0,1.0,1920,291,1629,0.1515625,0.8484375,-45.593984996056676,162.68023453368215
16,875.0327216041749,-983.9102889023861,2204.49167320873,57,44.1796875,128,0,128,0.0,1.0,1920,252,1668,0.13125,0.86875,-64.84349842682575,178.93201679268105
17,875.0327216041749,-900.2818216601194,2002.8596053046724,57,45.3828125,128,0,128,0.0,1.0,1920,251,1669,0.13072916666666667,0.8692708333333333,-59.20785061067462,166.05435324212087
18,1002.6817657183706,-985.3711314399318,2228.1275767553534,38,46.2734375,128,0,128,0.0,1.0,1920,296,1624,0.15416666666666667,0.8458333333333333,-65.24505459599546,191.6984741487365
19,1002.6817657183706,-1611.1454492401085,2668.4824839643034,38,49.2734375,128,0,128,0.0,1.0,1920,233,1687,0.12135416666666667,0.8786458333333333,-106.7128216160072,214.4687917339055
20,1002.6817657183706,-1675.936711758895,2677.4749940090255,38,50.4921875,128,0,128,0.0,1.0,1920,203,1717,0.10572916666666667,0.8942708333333333,-110.98015578392632,206.78390917922025
21,1096.1443200038243,-1268.6867354753385,2686.30268511149,62,49.0078125,128,0,128,0.0,1.0,1920,286,1634,0.14895833333333333,0.8510416666666667,-83.88224069835589,213.18342892686397
22,1108.6745951026571,-1030.75639356069,2535.764691063998,57,46.234375,128,0,128,0.0,1.0,1920,308,1612,0.16041666666666668,0.8395833333333333,-67.90355123737932,206.24916786250947
23,1108.6745951026571,-1567.7539531578286,2781.8247374874754,57,47.3046875,128,0,128,0.0,1.0,1920,216,1704,0.1125,0.8875,-103.81015937718855,210.57375302993304
24,1150.9639413784541,-1383.4771255126652,2714.4212277305405,62,49.0390625,128,0,128,0.0,1.0,1920,310,1610,0.16145833333333334,0.8385416666666666,-91.73337086751101,217.68366049239214
25,1245.9492173292947,-918.2785531708173,2552.5368565891063,62,56.2109375,128,0,128,0.0,1.0,1920,353,1567,0.18385416666666668,0.8161458333333333,-60.45711187805446,205.459031849205
26,1245.9492173292947,-1184.0930751674623,2793.4770177978285,62,58.5390625,128,0,128,0.0,1.0,1920,336,1584,0.175,0.825,-78.2822466778308,216.58450131034547
27,1245.9492173292947,-1056.256332626314,2741.1432890344895,62,59.6875,128,0,128,0.0,1.0,1920,377,1543,0.19635416666666666,0.8036458333333333,-69.70771384175423,221.31014743375403
28,1338.3619951798921,-433.6460697121743,2459.532458876033,63,61.1875,128,0,128,0.0,1.0,1920,479,1441,0.24947916666666667,0.7505208333333333,-28.25244631414495,205.14536685185908
29,1338.3619951798921,-921.586277263077,2706.5521219503325,63,61.6484375,128,0,128,0.0,1.0,1920,386,1534,0.20104166666666667,0.7989583333333333,-60.93752265087179,214.94692778020686
30,1338.3619951798921,-1156.5154345612814,3230.4059661936544,63,61.40625,128,0,128,0.0,1.0,1920,422,1498,0.21979166666666666,0.7802083333333333,-76.65154980408542,252.4473374482659
31,1338.3619951798921,-1286.1562937559247,3111.5092355548227,63,61.46875,128,0,128,0.0,1.0,1920,408,1512,0.2125,0.7875,-85.19010708372831,242.24462810332878
32,1338.432154094803,-996.8033477394823,3064.248596320725,63,62.078125,128,0,128,0.0,1.0,1920,479,1441,0.24947916666666667,0.7505208333333333,-65.74366068263215,240.48356661339545
33,1338.4350029721218,-754.747583334776,2741.8118144568384,63,62.8359375,128,0,128,0.0,1.0,1920,469,1451,0.24427083333333333,0.7557291666666667,-49.606609722318396,217.3256669092428
34,1338.4350029721218,-1245.0662439368443,3075.5678809265605,63,62.1640625,128,0,128,0.0,1.0,1920,394,1526,0.20520833333333333,0.7947916666666667,-82.29452042912295,238.66115954302708
35,1338.4350029721218,-803.9548279552056,2454.8489491019673,63,62.4140625,128,0,128,0.0,1.0,1920,418,1502,0.21770833333333334,0.7822916666666667,-52.99125936368036,205.96808227338357
36,1338.7761709109518,-1432.947601083997,2979.650909623278,63,62.484375,128,0,128,0.0,1.0,1920,358,1562,0.18645833333333334,0.8135416666666667,-94.97619423893313,234.12380610476586
37,1375.2662422677558,-1203.5490926016148,3033.4413167829152,63,62.1953125,128,0,128,0.0,1.0,1920,418,1502,0.21770833333333334,0.7822916666666667,-79.52671034010766,235.6473953507605
38,1619.4299369836856,-1329.4854967394097,3505.598147767946,63,62.3671875,128,0,128,0.0,1.0,1920,462,1458,0.240625,0.759375,-87.8703872826273,271.3120815940844
39,1615.2046675061856,-1036.9130870624035,2924.70022864123,63,62.765625,128,0,128,0.0,1.0,1920,449,1471,0.23385416666666667,0.7661458333333333,-68.46972663749355,233.19105376944006
40,1615.2046675061856,-652.3159440144084,2811.1114000176794,63,62.2265625,128,0,128,0.0,1.0,1920,519,1401,0.2703125,0.7296875,-42.98616710096056,222.87172913810448
41,1615.2046675061856,-993.7644429440239,2793.064578407111,63,61.359375,128,0,128,0.0,1.0,1920,443,1477,0.23072916666666668,0.7692708333333333,-65.59315036293492,219.3670696923555
42,1615.2046675061856,-926.8596146252057,2850.4283645957385,63,61.546875,128,0,128,0.0,1.0,1920,455,1465,0.23697916666666666,0.7630208333333334,-61.34116180834704,225.0253997457581
43,1624.4536934945968,-405.49450530816443,2454.797282645221,63,60.7578125,128,0,128,0.0,1.0,1920,534,1386,0.278125,0.721875,-26.58348785387762,205.13332707379533
44,1624.4536934945968,-999.48944118233,2901.648339759777,63,61.6328125,128,0,128,0.0,1.0,1920,465,1455,0.2421875,0.7578125,-66.078983578822,229.48051911715396
45,1624.4536934945968,-784.6030290385704,2930.8758464046196,63,61.3984375,128,0,128,0.0,1.0,1920,501,1419,0.2609375,0.7390625,-51.64905610257138,231.46548547731678
46,1624.4536934945968,-1099.1487925762622,3146.1415423442427,63,62.4921875,128,0,128,0.0,1.0,1920,499,1421,0.2598958333333333,0.7401041666666667,-72.72294033841747,245.27828082791046
47,1673.353032460972,-721.8897519016449,2863.233858232034,56,62.1875,128,0,128,0.0,1.0,1920,517,1403,0.26927083333333335,0.7307291666666667,-47.676504293443,228.69953639297893
48,1673.353032460972,-692.0653361212868,2957.9219041969545,56,62.2890625,128,0,128,0.0,1.0,1920,539,1381,0.28072916666666664,0.7192708333333333,-45.58768907475246,233.23409965783512
49,1673.353032460972,-668.8268799447386,2950.594897279719,56,60.6875,128,0,128,0.0,1.0,1920,548,1372,0.28541666666666665,0.7145833333333333,-44.038458662982585,237.64507819947
50,1673.353032460972,-473.98761665627984,2825.6290802530275,53,59.109375,128,0,128,0.0,1.0,1920,561,1359,0.2921875,0.7078125,-31.049174443751998,226.25484236038898
51,1673.353032460972,-1094.7259962825403,3223.6150846739847,56,57.171875,128,0,128,0.0,1.0,1920,488,1432,0.25416666666666665,0.7458333333333333,-72.4317330855027,248.0234115610638
52,1673.353032460972,-593.6942710514683,2884.5302030011867,56,55.0234375,128,0,128,0.0,1.0,1920,527,1393,0.27447916666666666,0.7255208333333333,-39.029618070097875,231.6101539545972
53,1676.317413073538,-899.1407719556184,3091.9456329295313,56,54.7890625,128,0,128,0.0,1.0,1920,510,1410,0.265625,0.734375,-59.34063479704123,242.72328122738597
54,1690.452449647531,-932.9803550982139,2908.0450329155015,53,55.1953125,128,0,128,0.0,1.0,1920,451,1469,0.23489583333333333,0.7651041666666667,-61.59660700654759,227.82918709377617
55,1690.452449647531,-884.3262662625577,3124.3703062144273,53,54.578125,128,0,128,0.0,1.0,1920,529,1391,0.2755208333333333,0.7244791666666667,-58.25039691750385,247.32269385787652
56,1690.452449647531,-1016.2806038758736,2970.128545871847,53,55.03125,128,0,128,0.0,1.0,1920,457,1463,0.23802083333333332,0.7619791666666667,-67.20360275839157,234.72268568299913
57,1690.452449647531,-821.4865548981576,2892.7828540896867,53,55.734375,128,0,128,0.0,1.0,1920,486,1434,0.253125,0.746875,-54.21733282654383,234.14571444482394
58,1690.452449647531,-753.2378869467911,2638.7720498144886,53,55.0390625,128,0,128,0.0,1.0,1920,454,1466,0.23645833333333333,0.7635416666666667,-49.77158829645275,212.71552451809194
