trial,score,pop_size,max_tree_size,num_constants,coeff_lr,coeff_opt_steps,gamma,seed
0,-1516.6346974407998,32,15,5,0.0015930522616241021,1000,0.9907896893992206,42
1,-563.1686247474647,128,15,4,0.00019010245319870352,1000,0.9884736221082576,43
