generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1656.7354031713824,-7049.613932682871,4145.8993761043685,14,15.46875,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-469.97426217885805,469.97946652220855
1,-1589.109481848363,-2757.347019740828,1609.9623121012191,14,16.78125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-183.03459298272185,140.49038011362367
2,-1437.0887052701444,-2216.2105822210206,1246.0747598320158,14,16.140625,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-146.95883048140138,114.29263328772186
3,-1388.7850311804123,-1944.6789241805736,1057.3943120753047,14,14.5703125,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-128.85671994537157,112.07422222156829
4,-1309.4725304575898,-1818.8069327936937,846.1651516564904,14,14.4765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-120.46525385291291,99.85930480192299
5,-1252.8622443998377,-2235.0382374213723,2397.4699168561747,14,14.703125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-148.21400749475816,234.70801342313047
6,-1228.5436033161973,-1888.7430821884009,1212.7284216713504,13,15.2421875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-125.12766381256006,117.92294017771182
7,-1175.3875406520772,-1750.6164544850392,1240.5012393060335,14,14.8515625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-115.91974279900259,111.33175628386877
8,-1167.1920334855736,-1639.472421048633,843.906507325401,24,14.734375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-108.50961973657553,89.3745009019628
9,-1034.9329033839676,-1492.6060986538005,723.4570092306839,13,14.703125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-98.7133232435867,73.96868431272208
10,-1034.9329033839676,-1682.7003129039454,1534.343654952165,13,17.171875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-111.3920000269297,141.57934634443947
11,-1034.9329033839676,-2058.389017362447,2196.543011724958,13,15.640625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-136.43791365749647,200.85672355686776
12,-938.5986827149645,-1833.2043011062678,1830.5742536685043,18,14.84375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-121.42559924041785,142.798777348746
13,-873.5921333858682,-1821.5599213853652,2051.9441970393864,21,15.9296875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-120.6467030923577,154.29223082859042
14,-873.5921333858682,-1802.9218454307543,1957.4753861093618,21,17.1015625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-119.40260219538362,148.40110910478313
15,-873.5921333858682,-1551.4526609055317,1725.2965667906224,21,20.40625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-102.63798989370213,135.07385410122208
16,-801.8542221115092,-1444.83169586066,1296.5182621876309,21,21.3203125,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-95.52992555737734,105.29125530915594
17,-696.7534484745008,-1407.8242262689243,1307.2913409662726,28,22.1484375,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-93.0627609179283,100.43121228750178
18,-696.7534484745008,-1268.7720010396379,934.3305128986437,28,23.3515625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-83.78896673597586,86.29985711402655
19,-669.1774679619243,-1420.051039894308,1598.110405557708,28,25.3125,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-93.87423599295384,128.6481908481829
20,-640.5610642932068,-1145.7085678703852,1070.500769592015,38,30.875,128,0,128,0.0,1.0,1920,9,1911,0.0046875,0.9953125,-75.58473785802569,84.92339001429646
21,-640.5610642932068,-1311.8218114032788,1552.1195023438786,38,36.640625,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-86.65374576021858,113.45759273874852
22,-640.5610642932068,-1240.526743609937,1444.1291091993332,38,33.609375,128,0,128,0.0,1.0,1920,8,1912,0.004166666666666667,0.9958333333333333,-81.90074124066247,110.05272184318311
23,-424.09881684802144,-1104.2587220889827,1222.8746141187034,38,36.15625,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-72.81620647259885,94.82846724624515
24,-424.09881684802144,-1198.965142198671,1476.7608926629143,38,38.359375,128,0,128,0.0,1.0,1920,7,1913,0.0036458333333333334,0.9963541666666667,-79.12996781324473,112.51134442377563
25,-389.4115633822077,-1030.8055976946198,1021.6411429886688,38,38.8203125,128,0,128,0.0,1.0,1920,48,1872,0.025,0.975,-67.91933151297467,99.91920803674091
26,-261.6339341611351,-1067.745760456568,1251.4380704653593,38,38.421875,128,0,128,0.0,1.0,1920,96,1824,0.05,0.95,-70.38200903043784,126.82946321822297
27,-261.6339341611351,-1043.7433735419963,1238.8719108843427,38,38.671875,128,0,128,0.0,1.0,1920,101,1819,0.05260416666666667,0.9473958333333333,-68.78184990279975,129.17909624628325
28,-261.6339341611351,-1327.8589355943227,1658.4652560735876,38,38.1796875,128,0,128,0.0,1.0,1920,99,1821,0.0515625,0.9484375,-87.72288737295484,142.8344448328817
29,-196.00624026112592,-890.0985388020688,1249.4193013844983,34,38.640625,128,0,128,0.0,1.0,1920,109,1811,0.05677083333333333,0.9432291666666667,-58.59094425347127,122.02082984395285
30,-196.00624026112592,-1200.709540834959,1893.1575046609478,34,38.109375,128,0,128,0.0,1.0,1920,103,1817,0.05364583333333333,0.9463541666666667,-79.35251105566392,154.63075408558598
31,-182.3555518297827,-969.580006043842,1247.9487309527244,38,37.28125,128,0,128,0.0,1.0,1920,113,1807,0.058854166666666666,0.9411458333333333,-63.89179206958946,127.77971732411406
32,-54.47641872864108,-929.8347829429048,1417.3558210969131,40,36.0859375,128,0,128,0.0,1.0,1920,146,1774,0.07604166666666666,0.9239583333333333,-61.187943862860315,131.8578593049282
33,-54.47641872864108,-1220.846669143562,1671.5497871408925,40,37.5078125,128,0,128,0.0,1.0,1920,133,1787,0.06927083333333334,0.9307291666666667,-80.69186127623747,157.0003734113686
34,-3.727875623242653,-1200.3078921644765,1672.571656018588,42,40.0625,128,0,128,0.0,1.0,1920,120,1800,0.0625,0.9375,-79.32260947763176,147.30267238252605
35,118.83758332581823,-1083.6091238843233,1893.124497197576,42,41.6953125,128,0,128,0.0,1.0,1920,195,1725,0.1015625,0.8984375,-71.48956659228821,155.28871670469988
