generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1702.615327737845,-6577.142899457148,2687.222312291126,12,16.3984375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-438.47619329714325,225.7486527057324
1,-1702.615327737845,-3361.4236943837677,2127.153060951961,24,17.90625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-224.03381920891783,170.3865381354984
2,-1700.990950671801,-2468.4398964941515,1691.0187659498863,12,20.1953125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-164.4998472662768,130.35623432672952
3,-1537.6565890583693,-2490.8540379983915,2105.68215319515,25,19.8203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-165.99365461655944,152.88256717433524
4,-1537.6565890583693,-2081.327272982173,1517.2200468153362,25,19.1875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-138.6768181988115,111.48032019262831
5,-623.094664233711,-2299.728253651565,1987.929413359798,22,19.890625,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-153.24297732677104,144.4436627848235
6,-623.094664233711,-2198.308440193131,1577.9148684435822,22,23.1640625,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-146.48316684620872,130.42838515614193
7,-345.1661889018932,-2239.8423224266976,1855.917285026495,21,23.6875,128,0,128,0.0,1.0,1920,13,1907,0.0067708333333333336,0.9932291666666667,-149.26084232844647,151.5580051925311
8,-345.1661889018932,-1564.7230303550646,1186.8211641015307,21,22.75,128,0,128,0.0,1.0,1920,20,1900,0.010416666666666666,0.9895833333333334,-104.24320202367097,108.94794545879934
9,-344.99346366688917,-1604.1194052918072,1907.857655437636,21,24.359375,128,0,128,0.0,1.0,1920,56,1864,0.029166666666666667,0.9708333333333333,-106.86999160278714,155.12656235353657
10,-344.99346366688917,-1464.9993136257244,1399.6010568187849,21,24.1015625,128,0,128,0.0,1.0,1920,73,1847,0.03802083333333333,0.9619791666666667,-97.60589174171494,140.5252201593259
11,-344.99346366688917,-1356.0455306003755,1396.6034615840074,21,23.6953125,128,0,128,0.0,1.0,1920,95,1825,0.049479166666666664,0.9505208333333334,-90.33709787335836,142.8355284692658
12,-304.3542787364713,-1357.8681526341632,1314.6124028037145,21,22.921875,128,0,128,0.0,1.0,1920,102,1818,0.053125,0.946875,-90.46001225894422,132.75221611453009
13,-304.3542787364713,-1384.2842137865869,1675.4182492241162,21,22.8515625,128,0,128,0.0,1.0,1920,115,1805,0.059895833333333336,0.9401041666666666,-92.21759341910578,153.51518936643137
14,-300.1488002786835,-1143.473612056253,1041.9249165404665,29,23.65625,128,0,128,0.0,1.0,1920,114,1806,0.059375,0.940625,-76.16068872041686,114.09991830296592
15,-300.1488002786835,-1529.6468009603655,1657.7248357804644,29,25.5625,128,0,128,0.0,1.0,1920,104,1816,0.05416666666666667,0.9458333333333333,-101.90463048069101,157.57649116183836
16,-293.188858706833,-1108.2926019332845,1125.6321567192656,30,26.2578125,128,0,128,0.0,1.0,1920,130,1790,0.06770833333333333,0.9322916666666666,-73.81127762888563,129.26615691459722
17,-293.188858706833,-1060.9225066403596,1264.176464470612,30,28.8046875,128,0,128,0.0,1.0,1920,120,1800,0.0625,0.9375,-70.65259419269064,133.50744699963093
18,-277.33459628935157,-1071.9379867284733,993.9162957796005,23,30.2109375,128,0,128,0.0,1.0,1920,105,1815,0.0546875,0.9453125,-71.38940744856491,114.73759036546068
19,-277.33459628935157,-998.270243632209,908.7172672725269,23,31.8515625,128,0,128,0.0,1.0,1920,123,1797,0.0640625,0.9359375,-66.48343290881394,112.35883244604972
20,-277.33459628935157,-1265.366690379356,1239.0757790533355,29,31.2578125,128,0,128,0.0,1.0,1920,92,1828,0.04791666666666667,0.9520833333333333,-84.2910085252904,134.5595180099883
21,-266.615671489811,-1162.5470492682161,1319.4033811243169,29,29.046875,128,0,128,0.0,1.0,1920,114,1806,0.059375,0.940625,-77.4332928678811,137.26679443211134
22,-246.69976653993407,-978.3151419025019,1029.4055327388446,25,26.65625,128,0,128,0.0,1.0,1920,139,1781,0.07239583333333334,0.9276041666666667,-65.14330112683345,123.35164399248754
23,-246.69976653993407,-1065.8038279230168,1082.8515373391633,23,28.1015625,128,0,128,0.0,1.0,1920,121,1799,0.06302083333333333,0.9369791666666667,-70.98098436153445,125.43719650224455
24,-246.69976653993407,-1092.5508328140718,1260.9178723970576,23,29.453125,128,0,128,0.0,1.0,1920,131,1789,0.06822916666666666,0.9317708333333333,-72.75745135427145,137.76284646540745
25,-238.3136318097753,-1083.2931163032117,1249.6697838995144,45,29.7578125,128,0,128,0.0,1.0,1920,137,1783,0.07135416666666666,0.9286458333333333,-72.15459317021413,134.79182355456024
26,-232.2665317774089,-1337.0487746450717,1506.6426117316591,29,30.4921875,128,0,128,0.0,1.0,1920,116,1804,0.06041666666666667,0.9395833333333333,-89.04840789300479,145.56365926417814
27,-222.38311943456577,-1038.500554917537,1323.1637566381194,55,32.2578125,128,0,128,0.0,1.0,1920,141,1779,0.0734375,0.9265625,-69.16378699450247,134.55662462196307
28,-222.38311943456577,-1004.9337134549035,1126.2146016867223,55,34.390625,128,0,128,0.0,1.0,1920,127,1793,0.06614583333333333,0.9338541666666667,-66.9112579803269,127.95239145272359
29,-159.11601248776043,-1158.895473550776,1487.5305764919315,55,37.6015625,128,0,128,0.0,1.0,1920,130,1790,0.06770833333333333,0.9322916666666666,-77.16688573671838,152.59437482746168
30,-159.11601248776043,-1075.489994017552,1337.1360683805367,55,42.5,128,0,128,0.0,1.0,1920,131,1789,0.06822916666666666,0.9317708333333333,-71.60766626783679,143.26894186981752
31,-159.11601248776043,-1130.8207363811275,1478.9321886431733,55,46.8515625,128,0,128,0.0,1.0,1920,127,1793,0.06614583333333333,0.9338541666666667,-75.29539284207516,142.83310047891106
32,-151.19732470572023,-1057.25776448918,1397.5793637340505,55,45.734375,128,0,128,0.0,1.0,1920,138,1782,0.071875,0.928125,-70.39718429927868,137.67502639458223
33,-151.19732470572023,-910.4936524080724,1219.6092136391844,57,44.4609375,128,0,128,0.0,1.0,1920,155,1765,0.08072916666666667,0.9192708333333334,-60.61291016053815,136.12126237416575
34,-151.19732470572023,-1116.1198180810354,1492.6306631355967,59,40.265625,128,0,128,0.0,1.0,1920,136,1784,0.07083333333333333,0.9291666666666667,-74.31861287206901,151.3210719691288
35,-151.19732470572023,-795.2006489367943,994.8459558550127,57,40.9609375,128,0,128,0.0,1.0,1920,154,1766,0.08020833333333334,0.9197916666666667,-52.924418262452946,121.37299002914605
36,-147.12686471423157,-932.7275492137971,1175.0797996803226,33,45.984375,128,0,128,0.0,1.0,1920,132,1788,0.06875,0.93125,-62.095065780919796,128.5932068242209
37,-147.12686471423157,-1050.091604899038,1209.8939471433923,33,46.2890625,128,0,128,0.0,1.0,1920,128,1792,0.06666666666666667,0.9333333333333333,-69.93256532660253,131.79314329969836
38,-147.12686471423157,-1006.2420797599821,1191.8287740225805,43,47.4296875,128,0,128,0.0,1.0,1920,133,1787,0.06927083333333334,0.9307291666666667,-67.00900323399881,134.89318882383728
39,-147.12686471423157,-957.612445911197,1363.983751533825,33,46.828125,128,0,128,0.0,1.0,1920,141,1779,0.0734375,0.9265625,-63.76681931074646,139.59641681588258
40,-147.12686471423157,-1050.9893468747332,1300.8145599532497,33,42.640625,128,0,128,0.0,1.0,1920,122,1798,0.06354166666666666,0.9364583333333333,-69.99090437498221,131.6172868117606
41,-147.12686471423157,-946.0677563866791,1280.5873567124245,29,38.6953125,128,0,128,0.0,1.0,1920,149,1771,0.07760416666666667,0.9223958333333333,-62.980558759111936,138.072246002253
42,-147.12686471423157,-1052.920333889562,1498.5087980265455,43,38.2734375,128,0,128,0.0,1.0,1920,144,1776,0.075,0.925,-70.11526184263745,158.20816870736004
43,-144.54889367271556,-869.1076294530825,1226.153978168002,33,37.7421875,128,0,128,0.0,1.0,1920,149,1771,0.07760416666666667,0.9223958333333333,-57.856654463538824,134.35410312694265
44,-144.54889367271556,-982.6631649868925,1124.981043294096,33,36.765625,128,0,128,0.0,1.0,1920,141,1779,0.0734375,0.9265625,-65.41639849912616,125.71797988239709
45,-144.54889367271556,-963.3034661148625,1239.5671440418298,33,35.7734375,128,0,128,0.0,1.0,1920,144,1776,0.075,0.925,-64.1426269076575,130.84354544142343
46,-142.76066384782126,-867.3573706246854,1198.1275612036811,25,33.203125,128,0,128,0.0,1.0,1920,157,1763,0.08177083333333333,0.9182291666666667,-57.74340804164569,132.9442004541434
47,-137.9616655274481,-1012.4813851099515,1465.7635821199888,44,32.8046875,128,0,128,0.0,1.0,1920,150,1770,0.078125,0.921875,-67.42355067399676,152.53954705726815
48,-133.17713793944907,-760.4943101133775,1026.6467964573812,44,34.921875,128,0,128,0.0,1.0,1920,160,1760,0.08333333333333333,0.9166666666666666,-50.614620674225165,124.50404072103976
49,-72.70096247700668,-1200.673725594444,1692.7974736500678,25,39.6875,128,0,128,0.0,1.0,1920,137,1783,0.07135416666666666,0.9286458333333333,-79.96246712296293,170.57891827472386
50,-72.70096247700668,-1049.5803268598772,1555.74687260455,25,45.625,128,0,128,0.0,1.0,1920,148,1772,0.07708333333333334,0.9229166666666667,-69.89441762399181,150.46207822192628
51,-56.40471549511618,-805.937305365832,1094.6516224372126,25,46.609375,128,0,128,0.0,1.0,1920,160,1760,0.08333333333333333,0.9166666666666666,-53.64884119105547,127.39982150322997
52,-56.40471549511618,-1079.3777399800429,1238.6138493839612,25,45.1953125,128,0,128,0.0,1.0,1920,138,1782,0.071875,0.928125,-71.88309933200286,130.81008152637696
53,-56.40471549511618,-854.0385740265506,993.3302099167194,25,42.140625,128,0,128,0.0,1.0,1920,171,1749,0.0890625,0.9109375,-56.8615820184367,120.82834691375574
54,-48.79871478711503,-709.6697648051465,1063.1132772488024,25,42.0078125,128,0,128,0.0,1.0,1920,206,1714,0.10729166666666666,0.8927083333333333,-47.23642182034311,129.21845944883833
55,-48.69179735068859,-923.7214652033183,1365.2776096814584,25,39.4765625,128,0,128,0.0,1.0,1920,202,1718,0.10520833333333333,0.8947916666666667,-61.50367059688788,148.77038322357842
56,-40.20875537744921,-916.0380590002754,1005.8759000676259,25,34.0078125,128,0,128,0.0,1.0,1920,159,1761,0.0828125,0.9171875,-60.994047683351695,113.88399433676908
57,-40.20875537744921,-827.2643892321037,951.7930604460603,25,31.984375,128,0,128,0.0,1.0,1920,190,1730,0.09895833333333333,0.9010416666666666,-55.08601136547359,121.89726808292485
58,-14.5031587459209,-1052.1580021086722,1466.4887602695142,26,29.7109375,128,0,128,0.0,1.0,1920,193,1727,0.10052083333333334,0.8994791666666667,-70.07115847391148,149.89895302200603
59,-0.6796711935581499,-981.7847448091215,1307.0131701962553,34,29.921875,128,0,128,0.0,1.0,1920,180,1740,0.09375,0.90625,-65.36867048727477,137.03936492646733
