generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1819.7513835222235,-6144.855525745191,2921.241079339675,13,15.546875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-409.6570350496794,253.2112111704909
1,-1819.7513835222235,-3088.1917684304935,1749.524254883535,13,17.484375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-205.04544081203292,145.7825898910973
2,-1819.7513835222235,-2660.5674825063584,1622.6385471930093,16,18.84375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-176.5363738337572,127.52651919702308
3,-1819.7513835222235,-3051.2975400853225,1964.4192900919948,13,19.8515625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-202.58301308902148,154.46285608962464
4,-1539.457058238068,-3188.607357254782,2405.2497781452307,13,20.6484375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-211.73814673365214,174.54801911532277
5,-1539.457058238068,-2552.500690946731,1624.3847941099027,13,21.21875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-169.32515022978208,129.1026080679072
6,-1489.1427110461814,-2630.1632719472996,1773.3702290243107,16,21.328125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-174.5091139631533,141.27650965955954
7,-1097.0690670173794,-2469.9349424843003,1576.5882235762374,23,22.3671875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-163.81904824895338,127.60957775633634
8,-1097.0690670173794,-2446.099239862855,1877.2210752285368,23,19.6484375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-162.23781390752367,142.65793963130025
9,-1097.0690670173794,-2365.2428569176977,1729.9275974955701,23,21.5859375,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-156.8468154611798,138.7262808191225
10,-899.6782253636131,-2932.4912594606867,2537.650006424062,36,24.0703125,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-194.6559797973791,193.59297306429445
11,-899.6782253636131,-2332.657650531124,1968.9431527578088,36,25.765625,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-154.67160378540828,160.54396701275874
12,-894.8209783660977,-2565.0686061827523,2232.9266409997895,36,29.046875,128,0,128,0.0,1.0,1920,20,1900,0.010416666666666666,0.9895833333333334,-170.16957374551683,178.8958803230062
13,-707.8679863258275,-2059.218076923705,1659.3997158157008,47,36.3515625,128,0,128,0.0,1.0,1920,43,1877,0.022395833333333334,0.9776041666666667,-136.4388092949137,146.73760541376257
14,-704.9411526908309,-2437.3619839046646,2309.855486016359,47,37.0390625,128,0,128,0.0,1.0,1920,58,1862,0.030208333333333334,0.9697916666666667,-161.6540280936443,183.83476448233455
15,-704.9411526908309,-3101.3737293284667,2832.1020121292436,47,40.2265625,128,0,128,0.0,1.0,1920,52,1868,0.027083333333333334,0.9729166666666667,-205.9211132052311,215.84682679228774
16,-703.010739328312,-2233.224798855633,2262.497162157845,47,43.3671875,128,0,128,0.0,1.0,1920,81,1839,0.0421875,0.9578125,-148.04061159037553,181.1251114686144
17,-673.7356437974802,-2133.340580023367,1985.3445307756774,44,46.71875,128,0,128,0.0,1.0,1920,91,1829,0.04739583333333333,0.9526041666666667,-141.3808824182245,172.11233557296796
18,-665.5378326794945,-2241.9932891218987,2435.281234547438,44,47.0,128,0,128,0.0,1.0,1920,105,1815,0.0546875,0.9453125,-148.62189635812655,191.4081238189372
19,-665.5378326794945,-1847.3344588259947,1850.777507768388,44,46.0625,128,0,128,0.0,1.0,1920,118,1802,0.06145833333333333,0.9385416666666667,-122.31422433839967,163.75453835849046
20,-665.5378326794945,-2220.335341324546,2211.7784857215574,44,45.390625,128,0,128,0.0,1.0,1920,105,1815,0.0546875,0.9453125,-147.18282483830305,193.11509220854734
21,-665.5378326794945,-2223.0449838772734,2137.177464163872,44,44.2421875,128,0,128,0.0,1.0,1920,97,1823,0.050520833333333334,0.9494791666666667,-147.36497809181822,180.38429638101144
22,-663.7019426432968,-1772.7189375420546,1719.8299358687073,44,44.7109375,128,0,128,0.0,1.0,1920,120,1800,0.0625,0.9375,-117.33584583613697,160.34339118871603
23,-662.0619127540213,-1752.5378071966015,1771.7459025797334,44,44.3046875,128,0,128,0.0,1.0,1920,122,1798,0.06354166666666666,0.9364583333333333,-115.99778089644012,157.87370296243097
24,-661.5630360680013,-1776.7395828493745,1847.5594374006062,47,44.5546875,128,0,128,0.0,1.0,1920,126,1794,0.065625,0.934375,-117.60993052329162,163.68667185606049
25,-653.8853625668596,-1627.9116839080416,1785.30903740083,44,44.5390625,128,0,128,0.0,1.0,1920,153,1767,0.0796875,0.9203125,-107.68911226053612,173.59908791646475
26,-653.8853625668596,-1730.9642187813147,1605.7855378840554,44,46.96875,128,0,128,0.0,1.0,1920,125,1795,0.06510416666666667,0.9348958333333334,-114.61027083542098,156.41468320301732
27,-649.1162587746944,-1869.413138054486,1941.023475855603,44,46.7109375,128,0,128,0.0,1.0,1920,128,1792,0.06666666666666667,0.9333333333333333,-123.82988628696573,173.73834316794196
28,-649.1162587746944,-1797.5406727039365,2017.2720935046202,44,45.5546875,128,0,128,0.0,1.0,1920,137,1783,0.07135416666666666,0.9286458333333333,-118.9908885969291,173.78514723211975
29,-649.1162587746944,-1547.8653686882028,1745.1650648051934,44,45.9375,128,0,128,0.0,1.0,1920,153,1767,0.0796875,0.9203125,-102.35138916254685,161.2388896518103
30,-602.1414978189905,-2054.0761881066205,2228.3334765495783,45,46.5703125,128,0,128,0.0,1.0,1920,134,1786,0.06979166666666667,0.9302083333333333,-136.0897146237747,192.29628024440208
31,-602.1414978189905,-2091.986410062198,2265.9504684113767,45,47.7734375,128,0,128,0.0,1.0,1920,135,1785,0.0703125,0.9296875,-138.6271669208132,193.75215189567163
32,-602.1414978189905,-1934.8014456063604,1977.2878710614614,45,48.5625,128,0,128,0.0,1.0,1920,136,1784,0.07083333333333333,0.9291666666666667,-128.14681512375734,175.9974823939587
33,-602.1414978189905,-1675.579759642274,1721.330425136977,45,48.3671875,128,0,128,0.0,1.0,1920,132,1788,0.06875,0.93125,-110.86177564281827,162.25584550350845
34,-602.1414978189905,-1765.1291955681336,1811.795122184914,45,48.8984375,128,0,128,0.0,1.0,1920,141,1779,0.0734375,0.9265625,-116.83371720454224,170.83314097537743
35,-600.1084670370628,-1740.3560884182905,1811.6702432815284,58,46.46875,128,0,128,0.0,1.0,1920,138,1782,0.071875,0.928125,-115.2338433945527,167.08180184911532
