generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1877.888286329533,-8089.700380592253,4029.4001251629093,14,15.34375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-539.3133587061502,504.1544836689934
1,-1852.823489510464,-3477.216308413874,1832.9334930724613,15,16.5390625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-231.81442056092493,174.7620875635198
2,-1478.8903466705124,-2701.4485367066777,2032.2101167255814,16,16.671875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-180.09656911377854,178.8577157921582
3,-1466.673868251654,-3247.4675826406874,2722.7074378177604,16,17.234375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-216.49783884271247,232.52279755602515
4,-1194.3030205237533,-3256.79586980988,2851.679978991565,27,18.1953125,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-217.119724653992,247.84971473002784
5,-1073.6792798903177,-2362.941377180243,1750.3552173998373,16,20.8046875,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-157.52942514534953,148.89492653710153
6,-958.7756384145898,-2730.4893606529677,2313.9498492157663,53,23.34375,128,0,128,0.0,1.0,1920,8,1912,0.004166666666666667,0.9958333333333333,-182.03262404353117,186.8830308602755
7,-263.50665412438764,-2339.39639299343,2076.2797460860093,28,26.328125,128,0,128,0.0,1.0,1920,18,1902,0.009375,0.990625,-155.95975953289533,173.72436751475658
8,-263.50665412438764,-2016.6939389494241,1983.2913055841261,28,29.71875,128,0,128,0.0,1.0,1920,29,1891,0.015104166666666667,0.9848958333333333,-134.4462625966283,164.3720642548218
9,-220.40263119343905,-2178.9389690574,2378.592366052919,28,32.3125,128,0,128,0.0,1.0,1920,26,1894,0.013541666666666667,0.9864583333333333,-145.26259793716,178.79235751249814
10,-195.37819117269777,-1886.9017235010929,2220.814615051781,36,30.546875,128,0,128,0.0,1.0,1920,39,1881,0.0203125,0.9796875,-125.79344823340621,164.4175188191238
11,-195.37819117269777,-1980.049170970262,2541.9880882121897,49,30.3359375,128,0,128,0.0,1.0,1920,58,1862,0.030208333333333334,0.9697916666666667,-132.00327806468417,182.47287921837778
12,-56.20732014935963,-1528.6035793026335,2150.946040926715,28,32.6015625,128,0,128,0.0,1.0,1920,70,1850,0.036458333333333336,0.9635416666666666,-101.90690528684223,158.82083046477763
13,-25.970181026310826,-1742.9460131236724,2670.7106621064413,28,33.1015625,128,0,128,0.0,1.0,1920,65,1855,0.033854166666666664,0.9661458333333334,-116.1964008749115,195.8721770803514
14,-25.970181026310826,-1945.0670206480859,3305.0815444316663,28,32.578125,128,0,128,0.0,1.0,1920,73,1847,0.03802083333333333,0.9619791666666667,-129.6711347098724,241.7536001015609
15,-11.453423691404893,-1797.7599080987006,2986.407378451592,42,33.1953125,128,0,128,0.0,1.0,1920,64,1856,0.03333333333333333,0.9666666666666667,-119.8506605399134,222.13117067810714
16,44.131637698302825,-2451.0522303025,3590.884935709477,42,35.4140625,128,0,128,0.0,1.0,1920,55,1865,0.028645833333333332,0.9713541666666666,-163.40348202016668,260.7769109490925
17,47.17141851556852,-1932.3965266944592,3409.483716728512,47,36.1953125,128,0,128,0.0,1.0,1920,65,1855,0.033854166666666664,0.9661458333333334,-128.82643511296394,244.30566419502446
18,47.17141851556852,-1501.9232333531254,3217.992330280877,47,39.4609375,128,0,128,0.0,1.0,1920,76,1844,0.03958333333333333,0.9604166666666667,-100.12821555687505,232.33626044919737
19,47.17141851556852,-2219.133059347674,3671.5752752533535,47,43.1171875,128,0,128,0.0,1.0,1920,67,1853,0.034895833333333334,0.9651041666666667,-147.9422039565116,265.94827360201253
20,49.50346948972138,-2339.2857720225866,3847.6834532306043,51,46.4765625,128,0,128,0.0,1.0,1920,65,1855,0.033854166666666664,0.9661458333333334,-155.95238480150581,275.3088087920525
