generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1709.4694389016563,-7364.664566780246,4490.22353606174,20,15.6328125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-490.97763778534966,518.2413880439024
1,-1660.9101729102426,-2969.0680075402965,1716.6555179487782,20,17.3671875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-197.14620050268644,161.34228743739496
2,-1434.1806794462718,-2804.524536553525,1988.8777313438616,16,20.734375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-186.176635770235,183.49659019193388
3,-1434.1806794462718,-2238.3627429269063,1226.1510482158742,16,23.0703125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-148.43459952846038,119.77946865803209
4,-1411.9982827980284,-2501.8126125927583,1863.7902085286826,19,22.21875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-165.9979241728505,167.637301323244
5,-1114.3096532267748,-2182.4613367362444,1557.7708984916069,20,19.875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-144.7062766157496,137.62242893575223
6,-1099.6343287615603,-2068.2344809837195,1553.2343017113283,20,19.7421875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-137.09063206558127,135.4425978014511
7,-966.0046031561589,-2264.9283443919976,1866.312290430791,28,20.859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-150.20355629279985,149.3674176268665
8,-698.5747315936891,-2466.3575009763535,2493.529374550415,20,22.625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-163.62800006509025,206.1689507186062
9,135.42965828553363,-2317.5069704978996,2242.0943047384017,24,26.2265625,128,0,128,0.0,1.0,1920,12,1908,0.00625,0.99375,-153.70879803319332,176.3281693267953
10,235.5333166903099,-1624.562403939328,1585.0947307743108,20,28.3671875,128,0,128,0.0,1.0,1920,51,1869,0.0265625,0.9734375,-107.61457692928852,153.04077194517478
11,305.3496449049103,-1674.65421916597,2141.0896003817998,24,27.3046875,128,0,128,0.0,1.0,1920,207,1713,0.1078125,0.8921875,-111.164447944398,186.10286693732752
12,649.8053250055765,-1819.557483379552,2625.9473573719674,24,26.875,128,0,128,0.0,1.0,1920,437,1483,0.22760416666666666,0.7723958333333333,-120.61424889197015,238.73998553979317
13,785.6226001065443,-1592.120243828294,2447.5964601069154,20,25.609375,128,0,128,0.0,1.0,1920,619,1301,0.3223958333333333,0.6776041666666667,-105.71218292188627,217.83142736605936
