trial,score,pop_size,max_tree_size,num_constants,coeff_lr,coeff_opt_steps,gamma,seed
0,-404.1923557195379,32,15,5,0.0015930522616241021,1000,0.9907896893992206,42
1,-386.75485401327796,128,15,4,0.00019010245319870352,1000,0.9884736221082576,43
2,-1148.2520234161655,64,15,5,0.00853618986286683,250,0.9835274182990956,44
3,-424.1958979236308,64,15,2,0.001096821720752952,1000,0.9879815083446946,45
4,-524.375611078792,16,31,2,0.0005989003672254305,500,0.9637657909746816,46
