generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1813.3378864709373,-7213.520261420817,4248.711610125682,12,15.6640625,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-480.90135076138785,462.1039599730529
1,-1813.3378864709373,-3014.9078241179295,1870.4226615719363,12,17.078125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-200.99385494119534,168.37642745109625
2,-1743.177510530898,-2630.6585137635384,1659.7323361590097,14,18.546875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-175.37723425090255,139.16223114857138
3,-1682.4991953832423,-2534.4552380709065,1633.5521004702875,12,17.8671875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-168.96368253806043,170.56551278447293
4,-1655.801095893332,-2411.294600944983,1277.2237472360935,21,17.59375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-160.75297339633215,141.73169232248057
5,-1589.5836047653368,-2341.777436617107,1028.7475803312327,19,17.21875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-156.1184957744738,139.1621025337413
6,-1441.0438109507577,-2132.2252547996186,909.8981027331291,29,17.921875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-142.1483503199746,119.26380879539745
7,-1355.0982245751368,-2285.1661495228063,1278.9203892075852,23,21.4765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-152.34440996818708,144.02005508858176
8,-1328.3958815489977,-2119.8101801383978,1288.3026234190265,22,22.6015625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-141.3206786758932,129.59913646221517
9,-1324.1010301741196,-2270.3941966897983,1299.9232010489784,42,26.40625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-151.35961311265322,173.7956631303271
10,-1066.858004241646,-2122.4650904002633,1193.4853715194502,29,29.609375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-141.4976726933509,145.51843347030288
11,-953.8653436878669,-2006.779473523546,1271.5068745024764,52,32.7734375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-133.78529823490305,147.47510643443985
12,-890.3603821901894,-1987.6532977828674,1475.6035483824414,32,35.2421875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-132.51021985219117,170.27814920930982
13,-888.1664300035865,-2036.2173475515442,1579.4862265358327,46,41.84375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-135.74782317010298,170.19552540007015
14,-884.6075353642493,-1743.6652192847073,1477.3906627591139,55,45.1171875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-116.2443479523138,129.37031149599886
15,-760.4190312297528,-1875.0119015472528,1493.3690207573193,59,42.984375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-125.00079343648353,144.3174488082498
16,-683.5874904076395,-1991.5710562095253,1765.7297060955573,61,44.140625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-132.7714037473017,165.39298712165294
17,-683.5874904076395,-1758.547421309489,1518.9164767650846,61,49.21875,128,0,128,0.0,1.0,1920,12,1908,0.00625,0.99375,-117.23649475396594,152.43438799705143
18,-680.5891444763424,-1994.1455829791287,1948.6143792306175,61,55.8125,128,0,128,0.0,1.0,1920,24,1896,0.0125,0.9875,-132.94303886527524,157.38478193934003
19,-671.5383914879174,-2172.6141787459746,2182.7530990160562,61,59.7734375,128,0,128,0.0,1.0,1920,18,1902,0.009375,0.990625,-144.84094524973165,165.08945351622518
20,-667.6455664327787,-1849.679680217445,1969.1816800621048,61,60.2734375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-123.311978681163,149.47730732201796
21,-600.4507092267968,-1999.526404302371,2022.849123567289,47,59.65625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-133.30176028682476,153.45510001741255
22,-600.4507092267968,-2142.528610719371,2189.4396976518647,47,59.484375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-142.83524071462475,161.9786653392101
23,-565.4786066114436,-2030.1801922299587,2145.089515612503,57,56.859375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-135.34534614866394,159.6775383242194
24,-564.8238972403467,-2271.9452944772256,2346.8923827717167,60,51.8984375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-151.46301963181503,175.78624306060752
25,-548.7473022526483,-2227.7440097046383,2294.1412826750366,57,53.859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-148.5162673136426,166.99333514459514
26,-548.7473022526483,-1651.307488474266,1879.8628339385418,57,56.1484375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-110.0871658982844,140.79346478305055
27,-542.5443354447033,-2243.4350251073447,2300.3681636515266,60,56.984375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-149.56233500715635,167.76152053420336
28,-541.7656195247855,-2139.701749109415,2299.9017693085116,60,57.375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-142.646783273961,167.60259248314316
29,-541.7656195247855,-2267.0992224212955,2318.803759413638,60,57.7421875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-151.1399481614197,172.9768293880998
30,-521.156001904408,-1709.3946845548107,1829.0299100949467,57,58.5078125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-113.95964563698739,139.10991255028685
31,-521.156001904408,-1477.6439106117018,1734.0659544053858,57,59.828125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-98.50959404078012,132.65511261899925
32,-521.156001904408,-2187.2855336682933,2287.157721221466,57,58.4765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-145.8190355778862,165.6242087045029
