label,run_path,best_model_generation,best_validation_score,test_mean_score,test_std_score,test_survival_rate,test_crash_rate
Placeholder baseline,experiment_runs/20260605_003533_final_validation_set_size-2_s1,181,993.6090411964523,-14.024070710033472,104.9524059641839,0.13333333333333333,0.8666666666666667
Final model,experiment_runs/20260605_001126_final_val4_s1,195,2806.406220913484,220.5584208318022,106.06669159795288,0.8666666666666667,0.13333333333333333
